云南移动IPTV,#genre#
CCTV-1,http://183.224.43.183:8007/TV/0/00000001000000050000000000000002/2.m3u8
CCTV-1高清,http://183.224.43.183:8007/TV/0/00000001000000050000000000000104/104.m3u8
CCTV-2,http://183.224.43.183:8007/TV/0/00000001000000050000000000000006/9.m3u8
CCTV-2高清,http://183.224.43.183:8007/TV/0/00000001000000050000000000000109/110.m3u8
CCTV-4,http://183.224.43.183:8007/TV/0/00000001000000050000000000000009/6.m3u8
CCTV-4高清,http://183.224.43.183:8007/TV/0/00000001000000050000000000000073/76.m3u8
CCTV-5+高清,http://183.224.43.183:8007/TV/0/00000001000000050000000000000102/96.m3u8
CCTV-7,http://183.224.43.183:8007/TV/0/00000001000000050000000000000007/8.m3u8
CCTV-7高清,http://183.224.43.183:8007/TV/0/00000001000000050000000000000110/109.m3u8
CCTV-9高清,http://183.224.43.183:8007/TV/0/00000001000000050000000000000111/108.m3u8
CCTV-10,http://183.224.43.183:8007/TV/0/00000001000000050000000000000046/46.m3u8
CCTV-10高清,http://183.224.43.183:8007/TV/0/00000001000000050000000000000112/107.m3u8
CCTV-11,http://183.224.43.183:8007/TV/0/00000001000000050000000000000045/47.m3u8
CCTV-11,http://183.224.43.183:8007/TV/0/00000001000000050000000000000051/52.m3u8
CCTV-12,http://183.224.43.183:8007/TV/0/00000001000000050000000000000010/5.m3u8
CCTV-12高清,http://183.224.43.183:8007/TV/0/00000001000000050000000000000113/106.m3u8
CCTV-13,http://183.224.43.183:8007/TV/0/00000001000000050000000000000011/4.m3u8
CCTV-14,http://183.224.43.183:8007/TV/0/00000001000000050000000000000012/3.m3u8
CCTV-14高清,http://183.224.43.183:8007/TV/0/00000001000000050000000000000114/105.m3u8
CCTV-15,http://183.224.43.183:8007/TV/0/00000001000000050000000000000050/51.m3u8
CCTV17,http://183.224.96.125:9000/TV/0/00000001000000050000000000000181/181.m3u8
CCTV17高清,http://183.224.43.183:8007/TV/0/00000001000000050000000000000132/123.m3u8
安徽卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000016/21.m3u8
安徽卫视高清,http://183.224.43.183:8007/TV/0/00000001000000050000000000000119/118.m3u8
保山-1,http://183.224.43.183:8007/TV/0/00000001000000050000000000000092/103.m3u8
保山-2,http://183.224.43.183:8007/TV/0/00000001000000050000000000000093/102.m3u8
保山-3,http://183.224.43.183:8007/TV/0/00000001000000050000000000000094/101.m3u8
北京卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000018/17.m3u8
北京卫视高清,http://183.224.43.183:8007/TV/0/00000001000000050000000000000115/122.m3u8
宾川1,http://183.224.43.183:8007/TV/0/00000001000000050000000000000156/157.m3u8
宾川2,http://183.224.43.183:8007/TV/0/00000001000000050000000000000157/156.m3u8
兵团卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000065/65.m3u8
沧源,http://183.224.43.183:8007/TV/0/00000001000000050000000000000142/146.m3u8
测试3,http://183.224.43.183:8007/TV/0/00000001000000050000000000000003/12.m3u8
测试5,http://183.224.43.183:8007/TV/0/00000001000000050000000000000004/11.m3u8
测试6,http://183.224.43.183:8007/TV/0/00000001000000050000000000000005/10.m3u8
测试8,http://183.224.43.183:8007/TV/0/00000001000000050000000000000008/7.m3u8
昌宁,http://183.224.43.183:8007/TV/0/00000001000000050000000000000091/91.m3u8
楚雄公共,http://183.224.43.183:8007/TV/0/00000001000000050000000000000074/78.m3u8
楚雄市台,http://183.224.96.125:9000/TV/0/00000001000000050000000000000187/186.m3u8
楚雄新闻,http://183.224.43.183:8007/TV/0/00000001000000050000000000000075/77.m3u8
大理-1,http://183.224.43.183:8007/TV/0/00000001000000050000000000000150/150.m3u8
大理-2,http://183.224.43.183:8007/TV/0/00000001000000050000000000000151/149.m3u8
大理-3,http://183.224.43.183:8007/TV/0/00000001000000050000000000000152/148.m3u8
大理市台,http://183.224.96.125:9000/TV/0/00000001000000050000000000000161/160.m3u8
大姚,http://183.224.43.183:8007/TV/0/00000001000000050000000000000158/158.m3u8
德宏公共,http://183.224.43.183:8007/TV/0/00000001000000050000000000000048/49.m3u8
德宏新闻综合,http://183.224.43.183:8007/TV/0/00000001000000050000000000000047/48.m3u8
德钦,http://183.224.43.183:8007/TV/0/00000001000000050000000000000079/80.m3u8
迪庆藏语,http://183.224.43.183:8007/TV/0/00000001000000050000000000000077/82.m3u8
迪庆新闻综合,http://183.224.43.183:8007/TV/0/00000001000000050000000000000076/83.m3u8
东方卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000017/18.m3u8
东方卫视高清,http://183.224.43.183:8007/TV/0/00000001000000050000000000000106/112.m3u8
东南卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000041/33.m3u8
凤庆,http://183.224.43.183:8007/TV/0/00000001000000050000000000000135/137.m3u8
福贡,http://183.224.43.183:8007/TV/0/00000001000000050000000000000145/143.m3u8
富宁,http://183.224.96.125:9000/TV/0/00000001000000050000000000000189/184.m3u8
甘肃卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000054/55.m3u8
个旧,http://183.224.96.125:9000/TV/0/00000001000000050000000000000177/174.m3u8
耿马,http://183.224.43.183:8007/TV/0/00000001000000050000000000000137/135.m3u8
贡山,http://183.224.43.183:8007/TV/0/00000001000000050000000000000146/142.m3u8
广东卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000021/14.m3u8
广东卫视高清,http://183.224.96.125:9000/TV/0/00000001000000050000000000000197/196.m3u8
广南-1,http://183.224.96.125:9000/TV/0/00000001000000050000000000000200/193.m3u8
广西卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000070/71.m3u8
贵州卫视,http://183.224.43.183:8007/TV/0/00000001000000050000000000000038/41.m3u8
哈哈炫动,http://183.224.43.183:8007/TV/0/00000001000000050000000000000071/72.m3u8
